ldraw_code	bricklink_color_id
0	11
1	7
2	6
3	39
4	5
5	47
6	8
7	9
8	10
9	62
10	36
11	40
12	25
13	23
14	3
15	1
16	-1
17	38
18	33
19	2
20	44
21	46
22	24
23	109
24	-1
25	4
26	71
27	34
28	69
29	104
30	157
31	154
32	11
33	14
34	20
35	108
36	17
37	50
38	18
39	113
40	13
41	74
42	16
43	15
44	234
45	107
46	19
47	12
52	51
54	121
57	98
60	57
61	52
62	64
63	82
64	122
65	3
66	19
67	12
68	96
69	93
70	88
71	86
72	85
73	42
74	37
75	116
76	117
77	56
78	90
79	60
80	67
81	70
82	65
83	244
84	150
85	89
86	91
87	77
89	97
92	28
100	26
110	43
112	73
114	100
115	76
117	101
118	41
120	35
125	32
128	225
129	102
132	111
133	151
134	84
135	66
137	78
142	61
147	81
148	77
150	119
151	99
158	50
176	237
178	238
179	95
183	83
184	252
185	254
186	253
187	255
189	235
191	110
200	70
212	105
216	27
218	227
219	245
226	103
227	226
231	164
232	87
234	121
256	11
272	63
273	7
284	114
285	221
288	80
293	74
294	118
295	104
297	115
300	250
302	162
308	120
313	72
320	59
321	153
322	156
323	152
324	5
326	158
329	159
330	155
334	21
335	58
339	163
341	222
350	4
351	94
353	220
360	228
362	223
363	229
364	224
365	230
366	29
367	233
368	236
370	240
371	241
373	54
375	9
376	170
378	48
379	55
383	22
402	167
406	63
422	169
423	168
424	173
430	175
431	174
449	24
450	106
462	31
484	68
490	34
493	-10
494	-11
495	-12
496	86
503	49
504	95
507	29
508	27
509	160
510	248
511	1
10002	36
10010	36
10019	2
10026	71
10029	104
10030	157
10031	154
10035	108
10036	17
10043	15
10047	-1
10070	88
10072	85
10073	42
10078	90
10179	239
10226	103
10308	120
10320	59
10321	153
10322	156
10323	152
10351	163
10366	232
10375	251
10378	48
10484	68
100003	161
100007	165
100009	166
100040	251
100167	167
100238	238
100241	241
100249	249
100255	255
100273	237
